model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,roc_auc_ovo,roc_auc_ovr,class_0_precision,class_0_recall,class_0_f1,class_1_precision,class_1_recall,class_1_f1,class_2_precision,class_2_recall,class_2_f1,class_3_precision,class_3_recall,class_3_f1,class_4_precision,class_4_recall,class_4_f1,class_5_precision,class_5_recall,class_5_f1,class_6_precision,class_6_recall,class_6_f1,class_7_precision,class_7_recall,class_7_f1,class_8_precision,class_8_recall,class_8_f1,class_9_precision,class_9_recall,class_9_f1
teacher,0.9925,0.9923923169248686,0.9924564311339138,0.9924103230091494,0.9925377445736936,0.9925,0.9925052009239694,0.9999543620977963,0.9999546645666546,0.9949135300101729,0.9979591836734694,0.9964340295466123,0.9964788732394366,0.9973568281938326,0.9969176574196389,0.9970731707317073,0.9903100775193798,0.9936801166747691,0.997002997002997,0.9881188118811881,0.9925410243659871,0.9959266802443992,0.9959266802443992,0.9959266802443992,0.9800884955752213,0.9932735426008968,0.9866369710467706,0.9968421052631579,0.988517745302714,0.9926624737945493,0.9817483189241114,0.9941634241245136,0.9879168680521991,0.9928131416837782,0.9928131416837782,0.9928131416837782,0.9910358565737052,0.9861248761149654,0.9885742672627919
student_regular,0.967,0.9667411582850167,0.9667007635244801,0.9666968647386172,0.9669943335488648,0.967,0.9669728766624699,0.9991392431232834,0.9991424767525745,0.9737108190091001,0.9826530612244898,0.9781615033011681,0.9859402460456942,0.9885462555066079,0.9872415310162781,0.967741935483871,0.9593023255813954,0.9635036496350365,0.9657869012707723,0.9782178217821782,0.9719626168224299,0.9660842754367934,0.9572301425661914,0.9616368286445013,0.9653243847874721,0.9674887892376681,0.9664053751399776,0.9686847599164927,0.9686847599164927,0.9686847599164927,0.9549808429118773,0.9698443579766537,0.9623552123552124,0.9544041450777202,0.9455852156057495,0.9499742135121196,0.9647532729103726,0.9494549058473737,0.957042957042957
student_distilled,0.8991,0.9024119752027921,0.8979193572314408,0.8985346135599576,0.9029417809160807,0.8991,0.899441745414949,0.9888498406626537,0.9889105326903108,0.9273084479371316,0.963265306122449,0.944944944944945,0.9619805481874447,0.958590308370044,0.9602824360105914,0.90625,0.8711240310077519,0.8883399209486166,0.90992835209826,0.8801980198019802,0.894816305988928,0.8977272727272727,0.884928716904277,0.8912820512820513,0.9426336375488917,0.8105381165919282,0.8716094032549728,0.9350515463917526,0.9467640918580376,0.9408713692946058,0.9475982532751092,0.8443579766536965,0.8930041152263375,0.7937219730941704,0.9086242299794661,0.8472953566299665,0.8019197207678883,0.910802775024777,0.8529002320185615
